Domain Name,Domain Type,Agency,Organization Name,City,State,Security Contact Email,modification,commit_datetime,commit_date
aiexports.gov,Federal - Executive,Department of Commerce,Department of Commerce,Washington,DC,(blank),added,2025-10-21 06:12:31+00:00,1761027151
safedc.gov,Federal - Executive,Non-Federal Agency,,,,(blank),changed_old,2025-10-21 06:12:31+00:00,1761027151
safedc.gov,Federal - Executive,Executive Office of the President,Executive Office of the President,Washington,DC,(blank),changed_new,2025-10-21 06:12:31+00:00,1761027151
