Domain Name,Domain Type,Organization Name,Suborganization Name,City,State,Security Contact Email,modification,commit_datetime,commit_date
passport.gov,Federal - Executive,Executive Office of the President,White House Office,Washington,DC,(blank),changed_old,2026-08-14 07:35:58+00:00,1786692958
passport.gov,Federal - Executive,Department of State,,Washington,DC,(blank),changed_new,2026-08-14 07:35:58+00:00,1786692958
passports.gov,Federal - Executive,Executive Office of the President,White House Office,Washington,DC,(blank),changed_old,2026-08-14 07:35:58+00:00,1786692958
passports.gov,Federal - Executive,Department of State,,Washington,DC,(blank),changed_new,2026-08-14 07:35:58+00:00,1786692958
